0x2032;;;;;Vitolig Scheitholzkessel ; VBC550S
0x20C5;0x0128;0x019F;;;ab Softwareindex 40 ; VPendHO1_40
0x20C6;0x0100;0x0103;;; ; VPlusHC1
0x20C6;0x0104;0x0113;;;ab Softwareindex 4 ; VPlusHC1_4
0x20C6;0x0114;0x0127;;;ab Softwareindex20 ; VPlusHC1_20
0x20C6;0x0128;0x0181;;;ab Softwareindex 40 ; VPlusHC1_40
0x20C6;0x0182;0x0195;;;ab Softwareindex 130 (Projekt Vitolacaldens, Íl-Hybrid-WP) ; VPlusHC1_130
0x20C7;0x0100;0x0103;;; ; VPlusHC2
0x20C7;0x0104;0x0113;;;ab Softwareindex 4 ; VPlusHC2_4
0x20C7;0x0128;0x019F;;;ab Softwareindex 40 ; VPlusHC2_40
0x20C8;0x0100;0x0103;;; ; VPlusHO1
0x20C8;0x0104;0x0113;;;ab Softwareindex 4 ; VPlusHO1_4
0x20C8;0x0114;0x0127;;;ab Softwareindex 20 ; VPlusHO1_20
0x20C8;0x0128;0x019F;;;ab Softwareindex 40 ; VPlusHO1_40
0x20C9;0x0100;0x0103;;; ; VScotHC1
0x20C9;0x0104;0x0113;;;ab Softwareindex 4 ; VScotHC1_4
0x20C9;0x0114;0x0127;;;ab Softwareindex20 ; VScotHC1_20
0x20C9;0x0128;0x0159;;;ab Softwareindex 40 ; VScotHC1_40
0x20C9;0x015A;0x0181;;;ab Softwareindex 90 (Projekt Jupiter) ; VScotHC1_90
0x20C9;0x0182;0x0195;;;ab Softwareindex 130 (Projekt Vitocaldens) ; VCaldens
0x20C9;0x01C8;0x01FF;0x0;0x9;ab Softwareindex 200 , Vitdens 200 2016 ; VScotHC1_200
0x20C9;0x01C8;0x01FF;0x10;0x19;ab Softwareindex 200 , Vitdens 200 2015 ; VScotHC1_200_10
0x20C9;0x01C8;0x01FF;0x30;0x39;ab Softwareindex 200 , F0: 30 - 39, Vitocrossal 100  ; VScotHC1_200_30
0x20CA;0x0100;0x0103;;; ; VScotHC2
0x20CA;0x0104;0x0113;;;ab Softwareindex 4 ; VScotHC2_4
0x20CA;0x0128;0x019F;;;ab Softwareindex 40 ; VScotHC2_40
0x20CA;0x01C8;0x01FF;0x11;0x19;ab Softwareindex 200 ,F0 : 11,  Vitdens 200 HC2  2016 ; VScotHC2_200_11
0x20CB;0x0100;0x0103;;; ; VScotHO1
0x20CB;0x0104;0x0113;;;ab Softwareindex 4 ; VScotHO1_4
0x20CB;0x0114;0x0127;;;ab Softwareindex 20 ; VScotHO1_20
0x20CB;0x0128;0x0145;;;ab Softwareindex 40 ; VScotHO1_40
0x20CB;0x0146;0x0147;;;ab Softwareindex 70 (Projekt Neptun) ; VScotHO1_70
0x20CB;0x0148;0x0159;;;ab Softwareindex 72 (Projekt Neptun) ; VScotHO1_72
0x20CB;0x015A;0x0181;;;ab Softwareindex 90 (Projekt Jupiter) ; VScotHO1_90
0x20CB;0x0182;0x0195;;;ab Softwareindex 150 (Projekt Vitocaldens) ; VCaldens_HO1
0x20CB;0x0196;0x01C7;;;ab Softwareindex 150 (Vitosorp) ; VSorp
0x20CB;0x01C8;0x01FF;0x0;0x0;ab Softwareindex 200, Projekt Vitodens 300 mit HO2B ; VScotHO1_200
0x20CB;0x01C8;0x01FF;0x1;0x9;ab Softwareindex 200, Projekt Vitodens 300 mit HO2B, ab 08/2016 mit Lüftungsbedienung ; VScotHO1_200_01
0x20CB;0x01C8;0x01FF;0x10;0x10;ab Softwareindex 200, Projekt Vitodens 200 mit HO1B ; VScotHO1_200_10
0x20CB;0x01C8;0x01FF;0x11;0x19;ab Softwareindex 200, Projekt Vitodens 200 mit HO1B ab 04/2016 ; VScotHO1_200_11
0x20CB;0x01C8;0x01FF;0x20;0x29;ab Softwareindex 200, F0: 20 - 29 ; VScotHO1_200_20
0x20CB;0x01C8;0x01FF;0x30;0x39;ab Softwareindex 200, Vitocrossal 100, F0: 30 - 39 ; VScotHO1_200_30
0x20E3;;;;;Vitovalor 300-P ; Vitovalor
